Ник:1:2:3:4:5:6:7:8:9:10
Angel Martinez:5:3:4:9:3:4:3:2:6:7
Ann Bird:5:0:2:10:9:7:2:3:5:0
Christina Wilson:3:8:10:1:1:7:2:4:4:9
Andrea Holt:4:10:2:0:10:2:5:8:5:3
Jorge Green:8:9:1:8:7:9:10:5:0:6
Theresa Werner:8:10:6:1:4:0:2:10:10:1
Bridget Young:2:9:10:1:1:4:8:0:7:7
Shannon Tate:9:2:1:5:9:0:10:3:0:0
Patrick Bass:3:1:0:1:4:6:6:7:1:7
Paul Davis:9:7:1:6:4:1:7:6:8:10
Cynthia Thomas:10:4:1:0:7:7:8:6:9:4
