Ник:1:2:3:4:5:6:7:8:9:10:Regrator
Angel Martinez:5:3:4:9:3:4:3:2:6:7:4.0
Stephen Jones:2:1:5:0:2:0:4:5:10:5:3.0
Kevin York:0:4:0:6:7:9:10:4:3:7:4.0
Brandon Erickson:5:2:4:4:7:3:0:0:8:6:4.0
Kathy Jones:10:10:1:2:5:2:3:10:0:1:4.0
Travis Hunt:1:0:1:7:8:8:1:4:8:8:4.0
Anthony Warren:4:2:10:10:1:6:3:9:9:9:3.0
Melanie Larson:5:7:5:4:10:9:4:9:3:9:2.0
Taylor Simmons:0:4:6:3:7:2:6:4:5:10:4.0
Debra Quinn:9:8:7:7:6:5:10:1:0:4:2.0
Carol Kennedy:9:5:1:1:4:1:0:8:1:1:4.0
Kelly Smith:4:1:7:7:5:8:10:2:1:4:4.0
Connie Gonzalez:1:6:8:1:9:5:9:3:9:0:4.0
Andrew Logan:0:4:2:5:1:4:10:10:3:4:4.0
Carmen Reyes:2:10:8:9:7:8:4:7:4:9:1.0
Shannon Lozano:10:4:7:6:1:9:6:3:0:4:2.0
Amy Hickman:3:0:3:4:10:0:6:5:9:3:4.0
Kristin Moore:1:5:3:0:8:0:5:0:9:2:4.0
Robert Lloyd:7:10:8:6:2:3:9:10:7:6:3.0
Ashley Hayden:5:3:9:3:7:10:1:3:1:0:2.0
Christopher Hill:1:0:8:5:7:1:4:7:10:0:4.0
Sharon Snow:4:10:9:0:8:8:6:3:4:8:4.0
Elizabeth Fox:3:1:2:4:9:0:6:2:8:9:4.0
John Marshall:2:2:7:10:2:7:10:3:8:1:4.0
Eric Harris:10:0:9:7:10:7:4:8:2:6:2.0
Megan Jones:0:9:4:6:7:10:8:9:0:9:1.0
Laura Jones:2:5:7:3:1:7:5:3:0:9:4.0
Paul Guerra:2:2:1:2:3:8:6:3:9:7:4.0
Christopher Jones:0:3:1:5:7:7:8:8:4:2:4.0
Patricia Watson:2:2:4:9:9:10:7:7:7:6:3.0
Cynthia Alexander:7:10:9:1:3:4:8:8:9:3:4.0
Elizabeth Clayton:9:10:6:5:5:3:4:8:9:9:3.0
Kristi Sullivan:7:1:7:0:8:2:9:5:9:5:3.0
Valerie Chapman:10:5:10:2:4:4:10:6:8:7:3.0
Andrew Moses:9:1:8:2:10:0:5:2:6:2:4.0
Crystal Sutton:8:10:8:8:8:5:5:9:4:7:2.0
Heather Barry:10:3:2:0:6:6:10:7:4:2:4.0
Rebecca Johnson:4:8:5:7:0:5:10:0:1:4:4.0
Anthony Thomas:10:9:10:0:1:2:6:2:4:6:4.0
Jesus Jackson:3:1:5:10:3:9:7:1:9:6:4.0
Ann Nunez:0:9:2:2:0:0:1:5:2:10:4.0
Kelly Thomas:10:9:3:5:5:10:3:1:10:6:1.0
Lisa Leon:3:2:9:8:5:9:4:1:4:5:4.0
Bradley George:4:10:2:3:7:0:1:2:7:0:4.0
Summer Marshall:4:8:4:5:6:5:7:8:1:1:1.0
Adam Blair:8:6:10:0:0:10:3:1:2:7:2.0
Lawrence Carlson:0:0:4:8:1:6:3:5:0:1:4.0
Jeremy Kaufman:9:10:8:7:5:2:9:9:2:9:1.0
Alan Summers:2:8:9:3:9:2:9:4:8:8:4.0
Lindsey Richards:3:8:7:4:10:3:3:4:0:10:4.0
Alan Glenn:5:6:3:1:8:1:1:4:4:3:4.0
Kimberly Escobar:5:8:2:0:6:7:5:8:9:7:3.0
Michele Miller:8:8:8:8:8:1:9:1:2:6:1.0
Steven Drake:2:7:5:1:0:6:3:1:4:5:4.0
Kelly Ramirez:9:3:1:5:7:4:10:9:8:0:4.0
Ashley Maldonado:1:6:2:8:7:2:10:0:3:10:1.0
Danny Fletcher:5:8:0:10:5:9:6:2:5:7:1.0
Brittany Oneal:1:5:10:3:2:0:10:8:8:10:3.0
Samuel Martinez:4:8:9:8:4:5:9:7:5:4:4.0
Laura Guerra:2:2:2:5:9:8:7:2:10:8:4.0
Pamela Johnston:10:1:4:6:3:1:3:1:2:8:4.0
Sheri Parsons:8:10:2:3:5:8:4:9:4:10:4.0
Ann Bird:5:0:2:10:9:7:2:3:5:0:4.0
Christina Wilson:3:8:10:1:1:7:2:4:4:9:4.0
Andrea Holt:4:10:2:0:10:2:5:8:5:3:4.0
Jorge Green:8:9:1:8:7:9:10:5:0:6:1.0
Theresa Werner:8:10:6:1:4:0:2:10:10:1:4.0
Bridget Young:2:9:10:1:1:4:8:0:7:7:4.0
Shannon Tate:9:2:1:5:9:0:10:3:0:0:4.0
Patrick Bass:3:1:0:1:4:6:6:7:1:7:4.0
Paul Davis:9:7:1:6:4:1:7:6:8:10:3.0
Cynthia Thomas:10:4:1:0:7:7:8:6:9:4:4.0
